"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"AL091867","            UNNAMED",18671027,110,-0.399999999999999,-23,180.996347896505,"West"
"AL011868","            UNNAMED",18680903,90,18.1,18,45.1587136647185,"Northeast"
"AL021868","            UNNAMED",18681001,70,19.3,39.1,26.2712292424273,"Northeast"
"AL031868","            UNNAMED",18681005,90,2.7,-5.5,153.853158764419,"Northwest"
"AL041868","            UNNAMED",18681015,90,11.4,5.30000000000001,65.0657048974234,"Northeast"
"AL011869","            UNNAMED",18690812,90,3,2.5,50.1944289077348,"Northeast"
"AL021869","            UNNAMED",18690816,90,1.3,-7.19999999999999,169.765197236577,"West"
"AL031869","            UNNAMED",18690827,70,2.7,-0.699999999999989,104.53445508054,"North"
"AL041869","            UNNAMED",18690901,60,5,7,35.5376777919744,"Northeast"
"AL051869","            UNNAMED",18690904,70,4,-2.20000000000005,118.810793742974,"Northwest"
"AL061869","            UNNAMED",18690907,100,20,5.5,74.6237487511738,"North"
"AL071869","            UNNAMED",18690911,90,27.3,-10.3,110.670958381816,"North"
"AL081869","            UNNAMED",18690914,60,0,0,270,"South"
"AL091869","            UNNAMED",18691001,50,0,0,270,"South"
"AL101869","            UNNAMED",18691004,90,16.5,10,58.7815972356536,"Northeast"
"AL011870","            UNNAMED",18700730,70,0,0,270,"South"
"AL021870","            UNNAMED",18700830,90,24.6,4,80.7644409068341,"North"
"AL031870","            UNNAMED",18700901,60,3.7,-27.4,172.309498581125,"West"
"AL041870","            UNNAMED",18700909,110,24.8,25,44.7698977049028,"Northeast"
"AL051870","            UNNAMED",18700917,80,24.8,34.4,35.7889734591833,"Northeast"
"AL061870","            UNNAMED",18701005,100,14.7,4.89999999999998,71.5650511770781,"North"
"AL071870","            UNNAMED",18701007,70,0,0,270,"South"
"AL081870","            UNNAMED",18701010,70,4,13.5,16.504361381755,"East"
"AL091870","            UNNAMED",18701019,90,15,13,49.0856167799749,"Northeast"
"AL101870","            UNNAMED",18701023,90,0,0,270,"South"
"AL111870","            UNNAMED",18701030,70,7.2,1.5,78.2317110679794,"North"
"AL011871","            UNNAMED",18710601,50,10.9,-14,142.096694166575,"Northwest"
"AL021871","            UNNAMED",18710608,50,10.1,-4.60000000000002,114.486680931716,"Northwest"
"AL031871","            UNNAMED",18710814,100,4.9,-12.1,157.954086537629,"West"
"AL041871","            UNNAMED",18710817,100,30.8,-37.8,140.826342029556,"Northwest"
"AL051871","            UNNAMED",18710830,90,15.8,-0.399999999999977,91.4502162909333,"North"
"AL061871","            UNNAMED",18710905,70,6.7,15.1,23.9272733800494,"Northeast"
"AL071871","            UNNAMED",18710930,70,13.4,20.1,33.6900675259798,"Northeast"
"AL081871","            UNNAMED",18711010,70,26.3,-2,94.3487235885117,"North"
"AL011872","            UNNAMED",18720709,50,10.7,3.5,71.8869341924767,"North"
"AL021872","            UNNAMED",18720820,90,33.2,-29.9,132.006276138272,"Northwest"
"AL031872","            UNNAMED",18720909,70,31.7,4.89999999999998,81.2130964931762,"North"
"AL041872","            UNNAMED",18720930,70,27.5,-6.30000000000001,102.903284595874,"North"
"AL051872","            UNNAMED",18721022,70,21.1,26.8,38.2138336292306,"Northeast"
"AL011873","            UNNAMED",18730601,40,7.5,-5,123.69006752598,"Northwest"
"AL021873","            UNNAMED",18730813,100,39.1,-21,118.23955169092,"Northwest"
"AL031873","            UNNAMED",18730918,70,11.8,19.6,31.0496571866227,"Northeast"
"AL041873","            UNNAMED",18730922,50,14.5,16.1,42.0068679940209,"Northeast"
"AL051873","            UNNAMED",18730926,100,26.3,2.30000000000001,85.0020579060721,"North"
"AL011874","            UNNAMED",18740702,50,3.6,-12.7,164.173845923827,"West"
"AL021874","            UNNAMED",18740803,70,23,-2.09999999999997,95.2168890318344,"North"
"AL031874","            UNNAMED",18740829,80,33.9,-20.5,121.16218268082,"Northwest"
"AL041874","            UNNAMED",18740902,50,12.1,-3.69999999999999,107.002852638757,"North"
"AL051874","            UNNAMED",18740908,50,19.7,13.8,54.9884648909176,"Northeast"
"AL061874","            UNNAMED",18740925,80,32.5,23.4,54.2461127455633,"Northeast"
"AL071874","            UNNAMED",18741031,90,12,5.89999999999998,63.8181924685569,"Northeast"
"AL011875","            UNNAMED",18750816,70,14,12.5,48.2397002961021,"Northeast"
"AL021875","            UNNAMED",18750901,70,37,-7,100.713123022791,"North"
"AL031875","            UNNAMED",18750908,100,17.6,-34.7,153.105666359075,"Northwest"
"AL041875","            UNNAMED",18750924,50,7.6,9.39999999999998,38.955907837759,"Northeast"
"AL051875","            UNNAMED",18751007,90,18.3,10,61.3456859380728,"Northeast"
"AL061875","            UNNAMED",18751012,70,20.7,15.8,52.6460481453184,"Northeast"
"AL011876","            UNNAMED",18760909,80,6,12.3,26.0033458445114,"Northeast"
"AL021876","            UNNAMED",18760912,100,24.3,-11.5,115.325901427749,"Northwest"
"AL031876","            UNNAMED",18760916,50,18.2,-0.5,91.5736640541026,"North"
"AL041876","            UNNAMED",18760929,90,-2.8,-30.7,185.211255861587,"West"
"AL051876","            UNNAMED",18761012,100,22.2,17,52.5563440564395,"Northeast"
"AL011877","            UNNAMED",18770801,60,25.4,8.10000000000002,72.3126405102424,"North"
"AL021877","            UNNAMED",18770914,70,10,15.2,33.340707346477,"Northeast"
"AL031877","            UNNAMED",18770916,70,21.4,-6.19999999999999,106.157339864588,"North"
"AL041877","            UNNAMED",18770921,100,31.8,-10.5,108.272638266985,"North"
"AL051877","            UNNAMED",18770924,50,13.8,-5.5,111.729789799262,"North"
"AL061877","            UNNAMED",18771013,50,21.3,15.3,54.309940174986,"Northeast"
"AL071877","            UNNAMED",18771024,50,11,29.1,20.7069366903771,"East"
"AL081877","            UNNAMED",18771128,50,29.3,20.8,54.6291486584901,"Northeast"
"AL011878","            UNNAMED",18780701,40,4,11.7,18.8745497582033,"East"
"AL021878","            UNNAMED",18780808,70,7.5,-38.7,169.032127817338,"West"
"AL031878","            UNNAMED",18780819,80,16.7,6,70.2375790676053,"North"
"AL041878","            UNNAMED",18780825,90,12.8,34.1,20.5744564591532,"East"
"AL051878","            UNNAMED",18780901,90,35.5,-24.3,124.391914953799,"Northwest"
"AL061878","            UNNAMED",18780912,90,17.9,-14.4,128.815608766106,"Northwest"
"AL071878","            UNNAMED",18780924,120,34.4,44.9,37.4574221746687,"Northeast"
"AL081878","            UNNAMED",18781009,70,22,57.3,21.0040008061095,"East"
"AL091878","            UNNAMED",18781009,70,28.4,0,90,"North"
"AL101878","            UNNAMED",18781013,100,17.9,-21.6,140.351331608662,"Northwest"
"AL111878","            UNNAMED",18781018,90,21.8,19.8,47.7524854002687,"Northeast"
"AL121878","            UNNAMED",18781125,60,0.9,-26.7,178.069412558833,"West"
"AL011879","            UNNAMED",18790809,70,12.5,22,29.6044507460049,"Northeast"
"AL021879","            UNNAMED",18790813,100,31.2,6.5,78.2317110679794,"North"
"AL031879","            UNNAMED",18790819,90,20.1,-7.5,110.462271523422,"North"
"AL041879","            UNNAMED",18790829,110,11.3,1.39999999999998,82.9373973295843,"North"
"AL051879","            UNNAMED",18791003,50,18.5,-12.9,124.887959689087,"Northwest"
"AL061879","            UNNAMED",18791009,50,18.8,-32,149.565764246557,"Northwest"
"AL071879","            UNNAMED",18791024,70,26.3,28.1,43.1048751783069,"Northeast"
"AL081879","            UNNAMED",18791118,90,33.3,19.5,59.647375272363,"Northeast"
"AL011880","            UNNAMED",18800621,40,2.8,-10.1,164.505151400861,"West"
"AL021880","            UNNAMED",18800804,130,15,-41.2,159.994564648555,"West"
"AL031880","            UNNAMED",18800815,80,13.2,-16.5,141.34019174591,"Northwest"
"AL041880","            UNNAMED",18800824,90,8.8,-31.6,164.438489674672,"West"
"AL051880","            UNNAMED",18800826,80,18,-14.3,128.465190186297,"Northwest"
"AL061880","            UNNAMED",18800906,70,22.1,34.4,32.7183869545871,"Northeast"
