"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"EP021963","           FLORENCE",19630714,75,0.700000000000003,-17.2,177.669481132021,"West"
"EP031963","             GLENDA",19630719,75,-0.300000000000001,-8,182.147585428298,"West"
"CP011963","            UNNAMED",19630802,45,20,-20.6,135.846674023862,"Northwest"
"EP041963","           JEN-KATH",19630909,45,20.2,-20.7,135.700402512235,"Northwest"
"EP051963","               IRAH",19630912,45,0.399999999999999,-53.6,179.572427493167,"West"
"EP061963","            LILLIAN",19630924,45,7,-4.20000000000002,120.963756532074,"Northwest"
"EP071963","               MONA",19631017,75,8.6,5.40000000000001,57.8750015596125,"Northeast"
"EP011964","            NATALIE",19640706,45,11.4,-3.40000000000001,106.606980578617,"North"
"EP021964","             ODESSA",19640715,75,5.6,-19,163.577812501685,"West"
"EP031964","           PRUDENCE",19640720,45,7.3,-17.8,157.700859776069,"West"
"EP041964","            ROSALYN",19640821,45,1.5,-4.79999999999998,162.645975363739,"West"
"EP051964","             TILLIE",19640907,45,3.6,-4.79999999999998,143.130102354156,"Northwest"
"EP011965","           VICTORIA",19650604,45,6.6,-12.8,152.723236616886,"Northwest"
"EP021965","             WALLIE",19650617,45,3.1,-3.19999999999999,135.909380449199,"Northwest"
"EP031965","                AVA",19650629,45,1.2,-21.2,176.760299703898,"West"
"EP041965","            BERNICE",19650630,45,7.3,-28.8,165.77666893736,"West"
"EP051965","            CLAUDIA",19650807,45,13.5,-12.4,132.568050054082,"Northwest"
"EP061965","             DOREEN",19650821,45,15.4,-28.9,151.948097140687,"Northwest"
"EP071965","              EMILY",19650830,80,15.5,-7.09999999999999,114.610835219718,"Northwest"
"EP081965","           FLORENCE",19650908,45,6.8,-24.2,164.30507585658,"West"
"EP091965","             GLENDA",19650913,45,10,-23.1,156.592192650662,"Northwest"
"EP101965","              HAZEL",19650924,45,4.4,4.60000000000002,43.7269699799431,"Northeast"
"EP011966","              ADELE",19660620,75,4.1,-2.90000000000003,125.272421448599,"Northwest"
"EP021966","             BLANCA",19660803,75,14.9,-49,163.086446761658,"West"
"EP031966","             CONNIE",19660808,75,1.8,-33.4,176.915187669502,"West"
"EP041966","            DOLORES",19660816,75,11.9,-35.3,161.370499193011,"West"
"EP051966","             EILEEN",19660823,75,9.4,-17.8,152.161918802865,"Northwest"
"EP061966","          FRANCESCA",19660906,75,5.8,-17.4,161.565051177078,"West"
"EP071966","           GRETCHEN",19660908,45,-4.2,-12,199.290046219189,"West"
"EP081966","              HELGA",19660909,75,13.6,-1.80000000000001,97.5394451395094,"North"
"EP091966","               IONE",19660911,45,4.5,-7.10000000000002,147.633361935275,"Northwest"
"EP101966","              JOYCE",19660915,45,1.1,-9.79999999999998,173.595647273616,"West"
"EP111966","            KIRSTEN",19660926,45,11.4,5.69999999999999,63.4349488229221,"Northeast"
"EP121966","           LORRAINE",19661004,45,3.1,-0.199999999999989,93.6913859864511,"North"
"EP131966","             MAGGIE",19661016,45,10.4,-7.99999999999997,127.568592028827,"Northwest"
"EP011967","             AGATHA",19670607,45,0.9,-7.5,173.157226587369,"West"
"EP021967","            BRIDGET",19670616,40,1.2,-1.30000000000001,137.290610042639,"Northwest"
"EP031967","           CARLOTTA",19670623,75,7.4,-12.4,149.172337700132,"Northwest"
"EP041967","             DENISE",19670706,45,5.8,-70.7,175.310141173505,"West"
"EP051967","            ELEANOR",19670713,55,12,-41.1,163.72373705794,"West"
"EP061967","           FRANCENE",19670724,45,11.3,-18.4,148.444648024101,"Northwest"
"EP071967","          GEORGETTE",19670725,45,4.4,-16.7,165.239550697908,"West"
"EP081967","               ILSA",19670812,60,9.7,-23.1,157.221811225389,"Northwest"
"EP091967","              JEWEL",19670818,75,9,-15,149.036243467926,"Northwest"
"EP101967","            KATRINA",19670830,75,15.4,-3.60000000000002,103.157542740015,"North"
"EP111967","               LILY",19670905,75,17.1,-13.4,128.083162797814,"Northwest"
"CP011967","              SARAH",19670909,130,25,-58.6,156.895878946521,"Northwest"
"EP121967","             MONICA",19670913,50,3,-6.59999999999999,155.556045219583,"Northwest"
"EP131967","            NANETTE",19670913,45,5.7,-13.4,156.956402199844,"Northwest"
"EP141967","             OLIVIA",19671006,110,13.9,-4.09999999999999,106.434163206253,"North"
"EP151967","          PRISCILLA",19671014,75,6.1,-24.6,166.073413392469,"West"
"EP161967","             RAMONA",19671021,45,9.9,-32.2,162.90977556578,"West"
"EP011968","            ANNETTE",19680620,45,4.4,-3,124.286876977209,"Northwest"
"EP021968","              BONNY",19680704,45,10.5,-16.4,147.370844164284,"Northwest"
"EP031968","            CELESTE",19680715,45,7.7,-25.2,163.009176708014,"West"
"EP041968","              DIANA",19680721,45,5.6,-27.7,168.57078432667,"West"
"EP051968","            ESTELLE",19680723,45,4,-38.6,174.083730588737,"West"
"EP061968","           FERNANDA",19680805,75,11.3,-39.5,164.035448038436,"West"
"EP071968","               GWEN",19680806,45,8.5,-18.9,155.784861013968,"Northwest"
"EP081968","           HYACINTH",19680817,45,14.7,-2.40000000000001,99.2726017772003,"North"
"EP091968","                IVA",19680821,45,11.4,-26.6,156.801409486352,"Northwest"
"EP101968","             JOANNE",19680821,75,15.5,-25.6,148.806404897557,"Northwest"
"EP111968","           KATHLEEN",19680824,45,4.7,-43.4,173.819244618341,"West"
"EP121968","               LIZA",19680828,75,11.4,-26.6,156.801409486352,"Northwest"
"EP131968","           MADELINE",19680829,45,1.4,-3.39999999999998,157.61986494804,"West"
"EP141968","              NAOMI",19680909,75,16.4,-4.5,105.343766047764,"North"
"EP151968","               ORLA",19680922,50,-0.600000000000001,-30.1,181.141957326789,"West"
"EP161968","            PAULINE",19680926,75,16.9,-11.2,123.533307918457,"Northwest"
"EP171968","            REBECCA",19681006,75,9.8,-14.3,145.576586544969,"Northwest"
"EP181968","             SIMONE",19681018,45,1.2,-1.10000000000002,132.510447078001,"Northwest"
"EP191968","               TARA",19681020,45,8,-32.9,166.333136812534,"West"
"EP011969","                AVA",19690701,45,9,-21.7,157.473939453271,"Northwest"
"EP021969","            BERNICE",19690709,75,6.6,-30,167.592581472599,"West"
"EP031969","            CLAUDIA",19690722,45,2,-7.90000000000001,165.79323388224,"West"
"EP041969","             DOREEN",19690804,75,5.4,-14,158.907660494172,"West"
"EP051969","              EMILY",19690823,55,3.5,-7.80000000000001,155.833370157015,"Northwest"
"EP061969","           FLORENCE",19690902,60,7.4,-6.59999999999999,131.729512076816,"Northwest"
"EP071969","             GLENDA",19690908,65,10.9,-15.8,145.399238112387,"Northwest"
"EP081969","            HEATHER",19690919,55,6.6,-13.5,153.946504689509,"Northwest"
"EP091969","               IRAH",19690930,45,1.7,-2.09999999999999,141.009005957494,"Northwest"
"EP101969","           JENNIFER",19691009,65,11.1,-1.09999999999999,95.6594818401625,"North"
"EP011970","              ADELE",19700530,75,3.8,-32.3,173.290163192243,"West"
"EP021970","             BLANCA",19700610,50,2.5,-2.09999999999999,130.03025927189,"Northwest"
"EP031970","             CONNIE",19700617,45,6.2,-5.69999999999999,132.594029483355,"Northwest"
"EP041970","             EILEEN",19700626,40,8.5,-4.60000000000002,118.421209224527,"Northwest"
